MYlive，CVS格式化源

香港HK,#genre#
戏曲台,http://url.cdnhs.store:48559/hstw.php?id=200
SUPER Kids Channel,http://url.cdnhs.store:48559/mytv.php?id=15
粤语片台,http://url.cdnhs.store:48559/mytv.php?id=16
粤语片台,http://url.cdnhs.store:48559/hstw.php?id=MytvCantoneseChannel
粤语片台,http://url.cdnhs.store:48559/hstw.php?id=CCLM
粤语片台,http://url.cdnhs.store:48559/hstw.php?id=MYTVCCLM
美亚电影HK,http://url.cdnhs.store:48559/mytv.php?id=17
Animax,http://url.cdnhs.store:48559/mytv.php?id=18
SUPER直播足球3台,http://url.cdnhs.store:48559/mytv.php?id=19
ZooMoo,http://url.cdnhs.store:48559/mytv.php?id=20
Nickelodeon,http://url.cdnhs.store:48559/mytv.php?id=21
Nick Jr,http://url.cdnhs.store:48559/mytv.php?id=22
Thrill,http://url.cdnhs.store:48559/mytv.php?id=23
天映經典頻道,http://url.cdnhs.store:48559/mytv.php?id=24
ROCK Action,http://url.cdnhs.store:48559/mytv.php?id=25
Love Nature HD,http://url.cdnhs.store:48559/mytv.php?id=26
Love Nature 4K,http://url.cdnhs.store:48559/mytv.php?id=27
Global Trekker,http://url.cdnhs.store:48559/mytv.php?id=28
ROCK綜藝娛樂,http://url.cdnhs.store:48559/mytv.php?id=29
AXN,http://url.cdnhs.store:48559/mytv.php?id=30
tvN,http://url.cdnhs.store:48559/mytv.php?id=31
tvN,http://url.cdnhs.store:48559/hstw.php?id=MytvTvn
tvN,http://url.cdnhs.store:48559/hstw.php?id=tvNHK
tvN,http://url.cdnhs.store:48559/hstw.php?id=CJTV
GEM,http://url.cdnhs.store:48559/mytv.php?id=67
POPC,http://url.cdnhs.store:48559/mytv.php?id=69
POPC,http://url.cdnhs.store:48559/hstw.php?id=MytvPopC
POPC,http://url.cdnhs.store:48559/hstw.php?id=POPCHK
POPC,http://url.cdnhs.store:48559/hstw.php?id=MytvPopC
POPC,http://url.cdnhs.store:48559/hstw.php?id=POPCHK
Now星影台,http://url.cdnhs.store:48559/nowtv.php?id=9
Now爆谷台,http://url.cdnhs.store:48559/nowtv.php?id=10
Now星影台CN,http://url.cdnhs.store:48559/nowtv.php?id=56
Now爆谷台CN,http://url.cdnhs.store:48559/nowtv.php?id=57
Now剧集台,http://url.cdnhs.store:48559/nowtv.php?id=11
Now华剧台,http://url.cdnhs.store:48559/nowtv.php?id=12
NowJelli,http://url.cdnhs.store:48559/nowtv.php?id=13
Now英超1台,http://url.cdnhs.store:48559/nowtv.php?id=1
NowSport1,http://url.cdnhs.store:48559/nowtv.php?id=2
NowSport2,http://url.cdnhs.store:48559/nowtv.php?id=3
NowSport3,http://url.cdnhs.store:48559/nowtv.php?id=4
NowSport4,http://url.cdnhs.store:48559/nowtv.php?id=5
NowSport5,http://url.cdnhs.store:48559/nowtv.php?id=6
NowSport6,http://url.cdnhs.store:48559/nowtv.php?id=7
NowSport7,http://url.cdnhs.store:48559/nowtv.php?id=8
NowSports 精選,http://url.cdnhs.store:48559/nowtv.php?id=17
TVB Plus,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbPlus
TVB Plus,http://url.cdnhs.store:48559/hstw.php?id=tvbj2
TVB Plus,http://url.cdnhs.store:48559/hstw.php?id=j2hk
TVB Plus,http://url.cdnhs.store:48559/hstw.php?id=J2
TVB Plus,http://url.cdnhs.store:48559/hstw.php?id=TVBPlusHK
TVB星河频道,http://url.cdnhs.store:48559/hstw.php?id=TVBXHHK
TVB星河频道,http://url.cdnhs.store:48559/hstw.php?id=TVBXHCN
TVB星河频道,http://url.cdnhs.store:48559/hstw.php?id=TVBXHHK
TVB星河频道,http://url.cdnhs.store:48559/hstw.php?id=TVBXHCN
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=MytvPhoenixHK
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=phoenixhk
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=PHK
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=MytvPhoenixHK
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=phoenixhk
凤凰香港台,http://url.cdnhs.store:48559/hstw.php?id=PHK
